price_rub,months,ytm_annual_pct,total_income,figi,ticker,name,issuer_name,lot,price_pct,for_qual,junk_score
1077.4,23.0,21.85,451.83,TCS00A10B6K8,RU000A10B6K8,ТЕХНОЛОГИЯ БО-02,ТЕХНОЛОГИЯ БО-02,1,107.74,,27.31
987.8,17.6,23.85,345.02,TCS00A10D1J9,RU000A10D1J9,ЭЛЕКТРОРЕШЕНИЯ 001Р-02,ЭЛЕКТРОРЕШЕНИЯ 001Р-02,1,98.78,,29.81
1013.5,17.2,23.03,334.26,TCS20A109NM3,RU000A109NM3,РЕГИОНСПЕЦТРАНС-01,РЕГИОНСПЕЦТРАНС-01,1,101.35,,28.79
1012.0,21.3,21.45,385.76,TCS00A10E6D0,RU000A10E6D0,ВУШ 001P-05,ВУШ 001P-05,1,101.2,,26.81
790.21,22.0,21.89,316.79,TCS70A108Y11,RU000A108Y11,Домодедово Фьюэл Фасилитис ЗО28,Домодедово Фьюэл Фасилитис ЗО28,1,79.021,,47.36
992.0,23.1,28.1,536.56,TCS00A10B354,RU000A10B354,Эффективные технологии 001P-02,Эффективные технологии 001P-02,1,99.2,,35.12
584.5,7.4,35.57,128.09,TCS80A107C34,RU000A107C34,АйДи Коллект выпуск 6,АйДи Коллект выпуск 6,1,87.5,,64.46
888.8,21.5,27.0,430.32,BBG01HQHKMJ4,RU000A106MV2,МГКЛ выпуск 4,МГКЛ выпуск 4,1,88.88,,53.75
1092.0,22.8,22.41,465.75,TCS00A10B4L1,RU000A10B4L1,Девар Петро 001Р-01,Девар Петро 001Р-01,1,109.2,,28.01
1000.0,22.0,27.27,500.94,RU000A10AYU6,RU000A10AYU6,МФК Мани Мен обб01,МФК Мани Мен обб01,1,100.0,,34.09
95.0,18.8,913.29,1358.74,TCS97A10A0H8,RU000A10A0H8,ВЕРАТЕК-01,ВЕРАТЕК-01,1,9.5,,70.0
1070.0,20.7,25.16,465.08,TCS00A10AMY3,RU000A10AMY3,ЛКХ-01,ЛКХ-01,1,107.0,,31.45
621.6,19.3,29.23,291.99,TCS00A105H98,RU000A105H98,Эфферон выпуск 1,Эфферон выпуск 1,1,82.88,,56.54
919.7,11.9,28.91,263.56,TCS99A108B83,RU000A108B83,Ойл Ресурс Групп БО-01,Ойл Ресурс Групп БО-01,1,91.97,,66.14
1049.1,14.0,20.73,253.0,TCS00A10BTT6,RU000A10BTT6,Универсальная лизинговая компания 001P-01,Универсальная лизинговая компания 001P-01,1,104.91,,55.91
1090.1,22.0,20.52,410.84,TCS00A10AYU6,RU000A10AYU6,МФК Мани Мен обб01,МФК Мани Мен обб01,1,109.01,,25.65
581.46,6.7,20.4,65.91,TCS99A107795,RU000A107795,МФК Лайм-Займ 001Р-03,МФК Лайм-Займ 001Р-03,1,96.91,,25.5
958.3,7.1,20.41,115.68,TCS99A1079G1,RU000A1079G1,Мани Капитал 001P-02,Мани Капитал 001P-02,1,95.83,,25.51
1050.8,22.8,22.07,440.71,TCS00A10B461,RU000A10B461,Новосибирскавтодор БО-03,Новосибирскавтодор БО-03,1,105.08,,27.59
934.0,7.5,31.85,185.67,TCS99A1079H9,RU000A1079H9,Роял Капитал БО-П10,Роял Капитал БО-П10,1,93.4,,39.81
899.6,17.1,20.32,261.2,BBG00XJF7FL9,RU000A102556,СЭЗ им. Серго Орджоникидзе выпуск 2,СЭЗ им. Серго Орджоникидзе выпуск 2,1,89.96,,45.4
1003.9,13.0,20.46,222.72,BBG00GSG5RB1,RU000A0JXRD5,Почта России выпуск 2,Почта России выпуск 2,1,100.39,,55.58
1020.9,15.4,22.1,290.35,TCS00A10E6J7,RU000A10E6J7,Страна Девелопмент 002Р-02,Страна Девелопмент 002Р-02,1,102.09,,27.62
1088.2,23.5,23.37,497.84,TCS00A10BB83,RU000A10BB83,Роял Капитал БО-02,Роял Капитал БО-02,1,108.82,,29.21
47.4,15.1,2140.91,1278.04,TCS10A10C5Z7,RU000A10C5Z7,Монополия 001Р-06,Монополия 001Р-06,1,4.74,,70.0
139.5,19.8,549.07,1262.43,TCS90A10ADH7,RU000A10ADH7,Нафтатранс Плюс БО-06,Нафтатранс Плюс БО-06,1,13.95,,70.0
1027.7,18.8,20.0,321.34,TCS00A105DL4,RU000A105DL4,Новые технологии,Новые технологии,1,102.77,,25.0
34.5,15.6,2156.48,965.5,TCS90A1094L0,RU000A1094L0,ФИНАНСОВЫЕ СИСТЕМЫ БО-П01,ФИНАНСОВЫЕ СИСТЕМЫ БО-П01,1,3.45,,70.0
673.4,14.4,40.36,326.7,TCS99A108U49,RU000A108U49,Урожай БО-05,Урожай БО-05,1,67.34,,100.0
992.5,15.1,20.27,253.4,TCS99A107PW1,RU000A107PW1,МФК Быстроденьги 002P-05,МФК Быстроденьги 002P-05,1,99.25,,25.34
1008.0,6.0,21.27,106.81,TCS00A1070L0,RU000A1070L0,ЯТЭК 001Р-03,ЯТЭК 001Р-03,1,100.8,,26.59
28.74,14.8,1908.51,677.18,TCS19A106LS0,RU000A106LS0,Глобал Факторинг Нетворк Рус выпуск 3,Глобал Факторинг Нетворк Рус выпуск 3,1,4.49,,100.0
47.1,15.8,2050.03,1274.2,TCS89A10CFH8,RU000A10CFH8,МОНОПОЛИЯ 001P-07,МОНОПОЛИЯ 001P-07,1,4.71,,70.0
1065.0,13.3,21.29,251.4,TCS00A10BQ03,RU000A10BQ03,Спектр БО-02,Спектр БО-02,1,106.5,,56.61
793.6,16.8,47.65,530.1,TCS20A109KG1,RU000A109KG1,Нэппи Клаб БО-01,Нэппи Клаб БО-01,1,79.36,,70.0
565.14,9.6,22.54,102.17,TCS00A105SZ2,RU000A105SZ2,СибАвтоТранс выпуск 1,СибАвтоТранс выпуск 1,1,94.19,,58.17
914.8,8.3,31.28,197.4,BBG01KTV3B51,RU000A107G22,ЗАС Корпсан БО-П01,ЗАС Корпсан БО-П01,1,91.48,,39.1
1073.0,22.3,21.93,437.37,TCS00A10B081,RU000A10B081,ЭкономЛизинг 001P-08,ЭкономЛизинг 001P-08,1,107.3,,27.41
1033.3,19.7,22.31,378.06,TCS00A10A7A8,RU000A10A7A8,ВЗВТ-01,ВЗВТ-01,1,103.33,,27.89
920.0,15.4,21.06,248.3,TCS00A1065Y3,RU000A1065Y3,Агротек БО-02,Агротек БО-02,1,92.0,,26.32
49.3,8.4,3297.29,1139.34,TCS10A10BWL7,RU000A10BWL7,Монополия 001Р-05,Монополия 001Р-05,1,4.93,,70.0
667.76,12.0,21.32,141.88,TCS00A1089L0,RU000A1089L0,"Агентство Судебного Взыскания, БО-02-001P","Агентство Судебного Взыскания, БО-02-001P",1,98.2,,56.65
976.5,10.8,25.02,220.78,TCS99A1082M3,RU000A1082M3,Рекорд трейд БО-01,Рекорд трейд БО-01,1,97.65,,61.27
866.1,21.5,28.25,438.06,BBG01L9X56G4,RU000A107P62,Сибирский КХП 001P-02,Сибирский КХП 001P-02,1,86.61,,55.31
996.3,16.3,24.55,332.14,TCS00A10ECY6,RU000A10ECY6,ЭЛЕКТРОРЕШЕНИЯ 001Р-03,ЭЛЕКТРОРЕШЕНИЯ 001Р-03,1,99.63,,30.69
966.8,9.6,22.44,172.82,TCS00A105054,RU000A105054,ММЦБ выпуск 2,ММЦБ выпуск 2,1,96.68,,58.05
941.2,8.2,26.54,171.0,BBG01KT3CC24,RU000A107F07,Унител БО-П01,Унител БО-П01,1,94.12,,33.17
