price_rub,months,ytm_annual_pct,total_income,figi,ticker,name,issuer_name,lot,price_pct,for_qual,junk_score,lots,alloc_rub
28.74,14.8,1908.51,677.18,TCS19A106LS0,RU000A106LS0,Глобал Факторинг Нетворк Рус выпуск 3,Глобал Факторинг Нетворк Рус выпуск 3,1,4.49,,100.0,115,3305.1
673.4,14.4,40.36,326.7,TCS99A108U49,RU000A108U49,Урожай БО-05,Урожай БО-05,1,67.34,,100.0,4,2693.6
772.6,11.1,43.53,311.22,TCS00A1061K1,RU000A1061K1,ЕвроТранс БО-001P-03,ЕвроТранс БО-001P-03,1,77.26,,100.0,4,3090.4
881.0,11.7,42.12,360.68,TCS00A10BB75,RU000A10BB75,ЕвроТранс БО-001Р-07,ЕвроТранс БО-001Р-07,1,88.1,,100.0,3,2643.0
68.11,13.5,912.55,697.69,TCS89A106DJ6,RU000A106DJ6,Мосрегионлифт БО-02,Мосрегионлифт БО-02,1,9.73,,100.0,48,3269.28
200.34,13.5,251.44,565.46,TCS97A106DJ6,RU000A106DJ6,Мосрегионлифт БО-02,Мосрегионлифт БО-02,1,28.62,,100.0,16,3205.44
849.2,13.2,42.7,400.1,TCS00A108FS8,RU000A108FS8,Антерра БО-02,Антерра БО-02,1,84.92,,100.0,3,2547.6
139.5,19.8,549.07,1262.43,TCS90A10ADH7,RU000A10ADH7,Нафтатранс Плюс БО-06,Нафтатранс Плюс БО-06,1,13.95,,70.0,23,3208.5
47.4,15.1,2140.91,1278.04,TCS10A10C5Z7,RU000A10C5Z7,Монополия 001Р-06,Монополия 001Р-06,1,4.74,,70.0,70,3318.0
575.0,20.9,45.68,456.65,TCS00A1092T7,RU000A1092T7,Омега БО-01,Омега БО-01,1,57.5,,70.0,5,2875.0
49.3,8.4,3297.29,1139.34,TCS10A10BWL7,RU000A10BWL7,Монополия 001Р-05,Монополия 001Р-05,1,4.93,,70.0,67,3303.1
782.2,20.7,45.97,619.18,TCS00A108WJ2,RU000A108WJ2,Бизнес-Лэнд БО-01,Бизнес-Лэнд БО-01,1,78.22,,70.0,4,3128.8
47.1,15.8,2050.03,1274.2,TCS89A10CFH8,RU000A10CFH8,МОНОПОЛИЯ 001P-07,МОНОПОЛИЯ 001P-07,1,4.71,,70.0,70,3297.0
793.6,16.8,47.65,530.1,TCS20A109KG1,RU000A109KG1,Нэппи Клаб БО-01,Нэппи Клаб БО-01,1,79.36,,70.0,4,3174.4
25.16,16.0,2191.93,735.32,TCS10A106TJ2,RU000A106TJ2,AzurDrive выпуск 1,AzurDrive выпуск 1,1,3.7,,70.0,132,3321.12
95.0,18.8,913.29,1358.74,TCS97A10A0H8,RU000A10A0H8,ВЕРАТЕК-01,ВЕРАТЕК-01,1,9.5,,70.0,35,3325.0
108.19,16.0,452.19,652.29,TCS98A106TJ2,RU000A106TJ2,AzurDrive выпуск 1,AzurDrive выпуск 1,1,15.91,,70.0,30,3245.7
19.04,19.4,2543.53,780.96,TCS19A107CJ6,RU000A107CJ6,Глобал Факторинг Нетворк Рус БО-04-001P,Глобал Факторинг Нетворк Рус БО-04-001P,1,2.38,,70.0,175,3332.0
34.5,15.6,2156.48,965.5,TCS90A1094L0,RU000A1094L0,ФИНАНСОВЫЕ СИСТЕМЫ БО-П01,ФИНАНСОВЫЕ СИСТЕМЫ БО-П01,1,3.45,,70.0,96,3312.0
831.9,19.1,39.15,517.12,TCS99A108FE8,RU000A108FE8,Урожай БО-04,Урожай БО-04,1,83.19,,68.94,4,3327.6
927.5,14.3,29.2,321.8,TCS00A108RK0,RU000A108RK0,ТД РКС 002Р-04,ТД РКС 002Р-04,1,92.75,,66.5,3,2782.5
919.7,11.9,28.91,263.56,TCS99A108B83,RU000A108B83,Ойл Ресурс Групп БО-01,Ойл Ресурс Групп БО-01,1,91.97,,66.14,3,2759.1
584.5,7.4,35.57,128.09,TCS80A107C34,RU000A107C34,АйДи Коллект выпуск 6,АйДи Коллект выпуск 6,1,87.5,,64.46,5,2922.5
967.9,9.5,26.73,204.7,TCS00A107RZ0,RU000A107RZ0,ГК Самолет БО-П13,ГК Самолет БО-П13,1,96.79,,63.41,3,2903.7
947.2,10.2,26.33,212.36,BBG01LLS9GH4,RU000A107SX3,ЭкономЛизинг 001P-07,ЭкономЛизинг 001P-07,1,94.72,,62.91,3,2841.6
831.1,22.2,33.72,518.73,TCS00A10CLX3,RU000A10CLX3,Уральская Сталь БО 001Р-05,Уральская Сталь БО 001Р-05,1,83.11,,62.15,4,3324.4
947.0,9.4,25.41,187.78,BBG01LC2XW43,RU000A107QM0,Бизнес Альянс 001Р-04,Бизнес Альянс 001Р-04,1,94.7,,61.76,3,2841.0
976.5,10.8,25.02,220.78,TCS99A1082M3,RU000A1082M3,Рекорд трейд БО-01,Рекорд трейд БО-01,1,97.65,,61.27,3,2929.5
921.6,14.0,24.56,263.35,TCS00A104XE0,RU000A104XE0,Лизинг-Трейд выпуск 4,Лизинг-Трейд выпуск 4,1,92.16,,60.7,3,2764.8
1000.0,13.9,23.89,277.35,TCS10A107GU4,RU000A107GU4,МФК Быстроденьги 002P-04,МФК Быстроденьги 002P-04,1,100.0,,59.86,3,3000.0
